id,speaker_id,article_id,gender,age,race,education,income,O,C,E,A,N,iri.perspective,iri.distress,iri.fantasy,iri.concern,text,z.iri.perspective,z.iri.distress,z.iri.fantasy,z.iri.concern,c.iri.perspective,c.iri.distress,c.iri.fantasy,c.iri.concern,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP,Emoji,empathy.low_empathy,empathy.high_empathy,empathy.low_distress,empathy.high_distress,nrc.anger,nrc.anticipation,nrc.disgust,nrc.fear,nrc.joy,nrc.negative,nrc.positive,nrc.sadness,nrc.surprise,nrc.trust
0,0,273,2,26,1,6,65000.0,6.5,6.0,6.0,7.0,6.0,4.429,1.429,2.857,4.571,"Have you read the article about the police apprehending the rioters involved in the North Dakota pipeline incident? Personally, I don't feel remorseful about it. I believe they violated the law and received the appropriate consequences. You have the freedom to make your own choices, but you cannot escape the repercussions that accompany those choices.",0.6918162939739291,-1.4416058646073606,-0.5793301588973242,0.9170520748639004,y,n,n,y,1,55,56.07,71.57,37.49,5.35,13.75,32.73,81.82,60.0,50.91,18.18,12.73,3.64,0.0,7.27,0.0,1.82,5.45,20.0,14.55,0.0,7.27,7.27,3.64,3.64,3.64,14.55,1.82,0.0,7.27,1.82,0.0,5.45,16.36,0.0,16.36,7.27,3.64,3.64,0.0,0.0,3.64,0.0,5.45,1.82,3.64,1.82,0.0,1.82,0.0,0.0,1.82,0.0,9.09,0.0,0.0,0.0,0.0,0.0,0.0,9.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.82,0.0,0.0,0.0,0.0,3.64,0.0,7.27,7.27,0.0,1.82,3.64,0.0,0.0,1.82,0.0,1.82,5.45,0.0,0.0,0.0,0.0,0,0,12.73,5.45,3.64,1.82,0.0,1.82,0.0,0,4.618181818181818,3.836363636363637,7.581818181818182,0.8727272727272727,0.09090909090909091,0.05454545454545454,0.01818181818181818,0.09090909090909091,0.03636363636363636,0.16363636363636364,0.18181818181818182,0.07272727272727272,0.03636363636363636,0.12727272727272726
1,0,395,2,26,1,6,65000.0,6.5,6.0,6.0,7.0,6.0,4.429,1.429,2.857,4.571,"Have you heard about the recent incident of murder-suicide? The person involved shares the same name as the school principals at the twins' school. I sincerely hope there is no connection between them. It's quite frightening to realize that we never truly know someone. Sometimes, I wonder if my husband might lose control with me. I can be difficult at times, but he works a lot, and the future is uncertain.",0.6918162939739291,-1.4416058646073606,-0.5793301588973242,0.9170520748639004,y,n,n,y,1,71,32.54,48.42,78.86,2.07,11.83,21.13,95.77,76.06,60.56,16.9,12.68,7.04,1.41,1.41,1.41,1.41,4.23,15.49,9.86,0.0,11.27,9.86,8.45,5.63,2.82,19.72,4.23,2.82,7.04,2.82,2.82,1.41,25.35,2.82,22.54,4.23,1.41,2.82,11.27,1.41,4.23,0.0,8.45,2.82,5.63,2.82,1.41,1.41,1.41,0.0,0.0,0.0,18.31,4.23,0.0,1.41,1.41,0.0,0.0,12.68,1.41,0.0,0.0,2.82,0.0,0.0,0.0,0.0,4.23,0.0,0.0,4.23,0.0,0.0,1.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.41,0.0,1.41,0.0,0.0,0.0,0.0,0.0,1.41,1.41,5.63,5.63,0.0,0.0,4.23,0.0,1.41,0.0,7.04,1.41,8.45,4.23,0.0,0.0,0.0,0,0,16.9,7.04,4.23,1.41,0.0,2.82,1.41,0,4.126760563380282,3.3943661971830985,6.929577464788732,0.5915492957746479,0.08450704225352113,0.056338028169014086,0.056338028169014086,0.1267605633802817,0.028169014084507043,0.15492957746478872,0.09859154929577464,0.07042253521126761,0.09859154929577464,0.09859154929577464
2,1,9,1,30,1,2,55000.0,5.0,6.5,5.0,6.0,7.0,3.286,1.286,2.714,3.714,"I believe it is a dreadful and frightening occurrence, mainly because there is currently no reliable warning system capable of detecting such a powerful earthquake. I truly hope that scientists can create an effective early detection system, as it has the potential to save thousands of lives. Personally, I cannot comprehend how people manage to live in areas prone to earthquakes. The constant fear of the ""big one"" striking at any moment and completely disrupting their lives (if they are fortunate enough to survive) is truly terrifying to me.",-0.8800082592945723,-1.6215551637007832,-0.7786568569865939,-0.0317635956641788,n,n,n,n,1,89,55.88,10.28,40.93,9.43,22.25,30.34,87.64,75.28,56.18,10.11,6.74,4.49,0.0,0.0,0.0,2.25,3.37,15.73,6.74,2.25,12.36,7.87,7.87,5.62,2.25,15.73,12.36,4.49,4.49,0.0,3.37,1.12,16.85,1.12,15.73,3.37,2.25,3.37,4.49,3.37,2.25,0.0,10.11,4.49,5.62,4.49,1.12,3.37,3.37,0.0,0.0,0.0,3.37,1.12,0.0,0.0,0.0,0.0,1.12,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12,0.0,0.0,1.12,0.0,0.0,3.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12,0.0,0.0,1.12,0.0,0.0,1.12,2.25,5.62,8.99,3.37,0.0,5.62,0.0,0.0,0.0,4.49,0.0,11.24,2.25,0.0,0.0,0.0,0,0,12.36,4.49,3.37,0.0,0.0,0.0,4.49,0,4.46067415730337,3.4719101123595504,7.101123595505618,0.8314606741573034,0.11235955056179775,0.11235955056179775,0.056179775280898875,0.1797752808988764,0.06741573033707865,0.16853932584269662,0.2696629213483146,0.07865168539325842,0.0898876404494382,0.16853932584269662
3,1,228,1,30,1,2,55000.0,5.0,6.5,5.0,6.0,7.0,3.286,1.286,2.714,3.714,"It is truly devastating for such an unfortunate event to occur. It is heartbreaking to realize that these occurrences still happen in certain parts of the world. I cannot even begin to imagine the unimaginable hardships those young girls must have endured. It must have been an incredibly traumatic experience for them, and I sincerely hope that they do not suffer any long-term psychological effects from it. The fact that there are individuals in the world capable of committing such heinous acts is truly distressing.",-0.8800082592945723,-1.6215551637007832,-0.7786568569865939,-0.0317635956641788,n,n,n,n,1,85,36.31,21.68,17.36,1.0,17.0,25.88,87.06,75.29,61.18,15.29,4.71,2.35,0.0,0.0,0.0,2.35,10.59,16.47,7.06,0.0,11.76,12.94,8.24,1.18,2.35,18.82,8.24,0.0,1.18,0.0,1.18,0.0,17.65,0.0,17.65,3.53,1.18,7.06,2.35,8.24,3.53,0.0,8.24,2.35,5.88,5.88,1.18,4.71,1.18,0.0,2.35,0.0,5.88,1.18,0.0,1.18,0.0,0.0,0.0,4.71,0.0,0.0,1.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.18,1.18,0.0,0.0,1.18,0.0,0.0,0.0,0.0,0.0,1.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.18,5.88,0.0,0.0,5.88,0.0,0.0,0.0,4.71,5.88,8.24,1.18,0.0,0.0,0.0,0,0,8.24,5.88,1.18,0.0,0.0,0.0,1.18,0,4.694117647058824,3.541176470588235,7.270588235294118,0.9647058823529412,0.12941176470588237,0.10588235294117647,0.08235294117647059,0.11764705882352941,0.047058823529411764,0.2,0.12941176470588237,0.1411764705882353,0.10588235294117647,0.10588235294117647
4,1,302,1,30,1,2,55000.0,5.0,6.5,5.0,6.0,7.0,3.286,1.286,2.714,3.714,"It is worrisome that pollution can significantly affect the survival of individuals with lung cancer. While not entirely surprising, it serves as another compelling reason why we should prioritize cleaner living practices as a society. I believe that air pollution likely causes similar harm to those without cancer, although it may be more challenging to discern the effects.",-0.8800082592945723,-1.6215551637007832,-0.7786568569865939,-0.0317635956641788,n,n,n,n,1,58,32.86,15.13,43.66,5.8,19.33,36.21,89.66,65.52,53.45,15.52,3.45,1.72,1.72,0.0,0.0,0.0,12.07,13.79,5.17,0.0,12.07,8.62,6.9,6.9,1.72,13.79,8.62,5.17,6.9,1.72,3.45,1.72,34.48,0.0,34.48,6.9,10.34,3.45,3.45,1.72,8.62,0.0,6.9,1.72,3.45,3.45,0.0,1.72,1.72,0.0,0.0,0.0,5.17,0.0,0.0,0.0,0.0,0.0,0.0,5.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.72,0.0,0.0,1.72,0.0,0.0,6.9,5.17,5.17,0.0,0.0,0.0,0.0,0.0,0.0,1.72,0.0,0.0,0.0,0.0,0.0,0.0,1.72,1.72,0.0,3.45,1.72,0.0,1.72,0.0,0.0,0.0,1.72,0.0,3.45,1.72,0.0,0.0,0.0,0,0,8.62,5.17,3.45,0.0,0.0,0.0,0.0,0,5.224137931034483,3.3448275862068964,7.844827586206897,0.7241379310344828,0.08620689655172414,0.034482758620689655,0.10344827586206896,0.06896551724137931,0.05172413793103448,0.15517241379310345,0.15517241379310345,0.08620689655172414,0.017241379310344827,0.08620689655172414
5,2,9,1,30,1,2,30000.0,6.5,6.0,4.0,4.0,5.5,4.0,1.571,4.0,3.857,"Reading stories about large-scale natural disasters is extremely difficult. There are limited measures that can be taken to prepare for such events, and often these preparations only minimize the damage to a small extent. It is disheartening to witness the actions of certain individuals in these circumstances. Instead of assisting their fellow citizens, they resort to looting and stealing resources from those already struggling with the effects of the natural disasters.",0.1018663960280084,-1.2629149522208851,1.0138895328231994,0.1265568721135522,y,n,y,n,1,71,79.62,64.99,2.25,1.0,17.75,40.85,84.51,69.01,53.52,9.86,2.82,0.0,0.0,0.0,0.0,2.82,7.04,15.49,7.04,0.0,16.9,7.04,9.86,2.82,0.0,12.68,9.86,4.23,2.82,1.41,0.0,1.41,8.45,0.0,8.45,1.41,1.41,1.41,1.41,1.41,1.41,0.0,4.23,0.0,4.23,1.41,0.0,1.41,0.0,0.0,1.41,0.0,8.45,2.82,1.41,0.0,0.0,0.0,1.41,5.63,0.0,0.0,0.0,0.0,1.41,1.41,0.0,0.0,1.41,0.0,0.0,1.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.82,0.0,0.0,0.0,0.0,0.0,0.0,2.82,4.23,0.0,0.0,2.82,1.41,0.0,0.0,2.82,2.82,5.63,2.82,0.0,0.0,0.0,0,0,9.86,5.63,2.82,0.0,0.0,0.0,1.41,0,5.042253521126761,4.47887323943662,8.408450704225352,1.1126760563380282,0.1267605633802817,0.07042253521126761,0.11267605633802817,0.14084507042253522,0.028169014084507043,0.29577464788732394,0.16901408450704225,0.1267605633802817,0.04225352112676056,0.08450704225352113
6,2,94,1,30,1,2,30000.0,6.5,6.0,4.0,4.0,5.5,4.0,1.571,4.0,3.857,"This is one of the worst situations I can envision. When you don't feel safe in the city you reside in, let alone your own home, it's time to consider relocating. However, I can imagine that these individuals have no alternative options. Circumstances like this disrupt everyday life and instill a fear that most people in their regular routines will never experience.",0.1018663960280084,-1.2629149522208851,1.0138895328231994,0.1265568721135522,y,n,y,n,1,62,9.48,40.06,79.1,6.37,15.5,25.81,87.1,67.74,58.06,20.97,9.68,3.23,0.0,4.84,0.0,1.61,11.29,20.97,4.84,1.61,9.68,11.29,6.45,4.84,4.84,16.13,9.68,3.23,1.61,0.0,0.0,1.61,19.35,4.84,14.52,4.84,0.0,3.23,1.61,0.0,4.84,0.0,4.84,1.61,3.23,1.61,0.0,1.61,1.61,0.0,0.0,0.0,12.9,0.0,0.0,0.0,0.0,0.0,0.0,8.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.61,0.0,1.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.61,0.0,12.9,9.68,0.0,0.0,8.06,0.0,0.0,1.61,4.84,0.0,9.68,1.61,0.0,0.0,0.0,0,0,14.52,6.45,4.84,0.0,0.0,3.23,0.0,0,4.580645161290323,3.306451612903226,7.0,0.8870967741935484,0.06451612903225806,0.03225806451612903,0.03225806451612903,0.06451612903225806,0.016129032258064516,0.08064516129032258,0.0967741935483871,0.04838709677419355,0.016129032258064516,0.04838709677419355
7,2,99,1,30,1,2,30000.0,6.5,6.0,4.0,4.0,5.5,4.0,1.571,4.0,3.857,"I find stories like this slightly irritating. Since I don't follow celebrity news, when it unexpectedly comes across my path, I simply think, ""Why should I care?"" These individuals will never be a part of my actual life, they won't affect me, and they won't even occupy my thoughts independently.",0.1018663960280084,-1.2629149522208851,1.0138895328231994,0.1265568721135522,y,n,y,n,1,50,1.0,1.0,99.0,20.23,16.67,16.0,98.0,80.0,64.0,26.0,20.0,16.0,0.0,0.0,0.0,4.0,6.0,12.0,2.0,0.0,8.0,12.0,14.0,6.0,8.0,24.0,2.0,2.0,2.0,0.0,0.0,2.0,24.0,2.0,22.0,6.0,6.0,2.0,0.0,2.0,4.0,0.0,4.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,16.0,6.0,2.0,0.0,0.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,0.0,2.0,8.0,0.0,0.0,0.0,6.0,0.0,4.0,6.0,0.0,0.0,0.0,0,0,26.0,4.0,10.0,2.0,0.0,6.0,4.0,0,4.44,2.96,6.86,0.54,0.1,0.14,0.08,0.08,0.06,0.14,0.18,0.08,0.1,0.1
8,2,125,1,30,1,2,30000.0,6.5,6.0,4.0,4.0,5.5,4.0,1.571,4.0,3.857,"Fires have a way of deeply affecting me emotionally. I have personally experienced this and the fear still lingers within me. A fire has the ability to destroy everything one possesses and can leave a lasting trauma. Often, individuals or families are abruptly awakened by blaring alarms and sudden smoke, forcing them to quickly choose their most valuable belongings to rescue. It is an incredibly frightening situation.",0.1018663960280084,-1.2629149522208851,1.0138895328231994,0.1265568721135522,y,n,y,n,1,67,54.92,40.06,48.48,1.78,13.4,32.84,86.57,61.19,53.73,11.94,7.46,4.48,0.0,0.0,0.0,2.99,4.48,14.93,8.96,1.49,8.96,8.96,5.97,5.97,0.0,11.94,4.48,2.99,5.97,2.99,1.49,1.49,11.94,1.49,10.45,1.49,1.49,1.49,2.99,1.49,1.49,0.0,10.45,2.99,5.97,5.97,0.0,4.48,2.99,0.0,0.0,0.0,7.46,1.49,1.49,0.0,0.0,0.0,0.0,5.97,1.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.99,1.49,0.0,0.0,1.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.97,7.46,1.49,1.49,2.99,0.0,1.49,0.0,7.46,1.49,5.97,0.0,0.0,0.0,0.0,0,0,10.45,7.46,2.99,0.0,0.0,0.0,0.0,0,4.477611940298507,3.7611940298507465,7.402985074626866,0.835820895522388,0.1044776119402985,0.1044776119402985,0.04477611940298507,0.14925373134328357,0.029850746268656716,0.16417910447761194,0.16417910447761194,0.07462686567164178,0.11940298507462686,0.08955223880597014
9,2,150,1,30,1,2,30000.0,6.5,6.0,4.0,4.0,5.5,4.0,1.571,4.0,3.857,"It is unfortunate that a woman lost her life in this manner, but such incidents do occur. It is difficult to determine who should be held responsible, as these events are unpredictable. However, the collision between the female pilot and another aircraft suggests that proper protocols were not followed. The other plane should not have been in close proximity to her.",0.1018663960280084,-1.2629149522208851,1.0138895328231994,0.1265568721135522,y,n,y,n,1,61,19.57,16.05,18.18,1.32,15.25,24.59,85.25,78.69,60.66,16.39,4.92,0.0,0.0,0.0,3.28,0.0,11.48,21.31,6.56,0.0,9.84,16.39,1.64,6.56,3.28,22.95,14.75,1.64,1.64,0.0,0.0,1.64,19.67,0.0,19.67,1.64,1.64,3.28,0.0,0.0,9.84,0.0,3.28,0.0,3.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.48,1.64,0.0,0.0,0.0,0.0,1.64,8.2,0.0,0.0,6.56,0.0,0.0,0.0,0.0,0.0,1.64,0.0,0.0,1.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.92,8.2,0.0,0.0,8.2,0.0,0.0,0.0,0.0,8.2,4.92,0.0,0.0,0.0,0.0,0,0,11.48,6.56,4.92,0.0,0.0,0.0,0.0,0,4.836065573770492,3.5901639344262297,7.508196721311475,0.918032786885246,0.08196721311475409,0.03278688524590164,0.04918032786885246,0.11475409836065574,0.0,0.14754098360655737,0.09836065573770492,0.06557377049180328,0.04918032786885246,0.08196721311475409
