id,speaker_id,article_id,gender,age,race,education,income,O,C,E,A,N,iri.perspective,iri.distress,iri.fantasy,iri.concern,text,z.iri.perspective,z.iri.distress,z.iri.fantasy,z.iri.concern,c.iri.perspective,c.iri.distress,c.iri.fantasy,c.iri.concern,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP,Emoji,empathy.low_empathy,empathy.high_empathy,empathy.low_distress,empathy.high_distress,nrc.anger,nrc.anticipation,nrc.disgust,nrc.fear,nrc.joy,nrc.negative,nrc.positive,nrc.sadness,nrc.surprise,nrc.trust
0,0,273,2,26,1,6,65000.0,6.5,6.0,6.0,7.0,6.0,4.429,1.429,2.857,4.571,"Hey, have you seen the article about the police arresting most of the rioters involved in the North Dakota pipeline situation? Personally, I don't feel guilty about it. I believe that those individuals broke the law and received the consequences they deserved. You are entitled to make your own choices, but you cannot escape the repercussions that accompany those choices.",0.6918162939739291,-1.4416058646073606,-0.5793301588973242,0.9170520748639004,y,n,n,y,1,60,49.68,77.41,39.59,1.0,15.0,28.33,85.0,61.67,51.67,20.0,11.67,3.33,0.0,6.67,0.0,1.67,8.33,21.67,11.67,0.0,8.33,6.67,3.33,3.33,3.33,15.0,3.33,1.67,6.67,1.67,0.0,5.0,18.33,0.0,18.33,8.33,3.33,3.33,0.0,0.0,3.33,0.0,6.67,0.0,6.67,3.33,0.0,3.33,0.0,0.0,3.33,0.0,13.33,3.33,0.0,0.0,0.0,1.67,1.67,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.67,0.0,0.0,0.0,0.0,3.33,0.0,5.0,6.67,0.0,1.67,3.33,1.67,0.0,0.0,0.0,5.0,8.33,0.0,1.67,1.67,0.0,0.0,0.0,13.33,5.0,5.0,1.67,0.0,1.67,0.0,0,4.35,3.816666666666667,7.183333333333334,0.9833333333333332,0.13333333333333333,0.06666666666666667,0.03333333333333333,0.1,0.016666666666666666,0.21666666666666667,0.2,0.08333333333333333,0.016666666666666666,0.15
1,0,395,2,26,1,6,65000.0,6.5,6.0,6.0,7.0,6.0,4.429,1.429,2.857,4.571,"Hey, have you heard about the murder-suicide that occurred the other day? The person involved shares the same name as the school principal at the twins' school. I truly hope there is no connection between them. It's quite frightening to realize that we never truly know someone. Sometimes, I wonder if my husband might snap at me. I can be a bit of a nuisance, but he works a lot, and the future is always uncertain.",0.6918162939739291,-1.4416058646073606,-0.5793301588973242,0.9170520748639004,y,n,n,y,1,76,36.67,40.06,77.97,8.11,12.67,17.11,93.42,78.95,63.16,17.11,11.84,6.58,1.32,1.32,1.32,1.32,5.26,21.05,13.16,0.0,9.21,9.21,9.21,5.26,2.63,17.11,3.95,5.26,3.95,2.63,1.32,0.0,25.0,3.95,21.05,3.95,0.0,2.63,10.53,2.63,5.26,0.0,3.95,1.32,2.63,2.63,1.32,1.32,1.32,0.0,0.0,0.0,17.11,3.95,0.0,0.0,1.32,0.0,1.32,11.84,1.32,0.0,0.0,2.63,0.0,0.0,0.0,0.0,3.95,0.0,0.0,3.95,0.0,0.0,1.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.32,0.0,1.32,0.0,0.0,0.0,0.0,0.0,0.0,1.32,7.89,5.26,0.0,0.0,3.95,0.0,1.32,0.0,6.58,1.32,7.89,3.95,1.32,1.32,0.0,0.0,0.0,17.11,6.58,5.26,1.32,0.0,2.63,1.32,0,3.960526315789474,3.013157894736842,6.394736842105263,0.5789473684210527,0.07894736842105263,0.039473684210526314,0.039473684210526314,0.07894736842105263,0.039473684210526314,0.13157894736842105,0.10526315789473684,0.039473684210526314,0.06578947368421052,0.07894736842105263
2,1,9,1,30,1,2,55000.0,5.0,6.5,5.0,6.0,7.0,3.286,1.286,2.714,3.714,"I believe it is a terrible and quite scary thing because there is currently no warning system capable of detecting an earthquake of that magnitude. I truly hope that scientists can develop an accurate early detection system, as it has the potential to save thousands of lives. I honestly cannot comprehend how people are able to live in areas prone to earthquakes. The thought of the ""big one"" striking at any moment and completely disrupting your life (if you're fortunate enough to survive) is absolutely terrifying to me.",-0.8800082592945723,-1.6215551637007832,-0.7786568569865939,-0.0317635956641788,n,n,n,n,1,88,48.53,17.46,34.4,3.56,22.0,29.55,88.64,75.0,59.09,12.5,6.82,4.55,0.0,2.27,0.0,0.0,5.68,15.91,6.82,2.27,13.64,9.09,7.95,5.68,2.27,14.77,10.23,5.68,2.27,0.0,2.27,0.0,19.32,1.14,18.18,4.55,2.27,3.41,5.68,4.55,2.27,0.0,6.82,2.27,4.55,4.55,1.14,3.41,2.27,0.0,0.0,0.0,4.55,1.14,0.0,0.0,0.0,0.0,1.14,2.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.14,0.0,0.0,1.14,0.0,0.0,2.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.14,0.0,0.0,1.14,0.0,0.0,1.14,1.14,6.82,7.95,3.41,0.0,4.55,0.0,0.0,0.0,3.41,0.0,11.36,2.27,1.14,0.0,1.14,0.0,0.0,11.36,4.55,1.14,0.0,0.0,1.14,4.55,0,4.375,3.2954545454545454,6.852272727272728,0.8181818181818182,0.09090909090909091,0.10227272727272728,0.07954545454545454,0.1590909090909091,0.056818181818181816,0.1590909090909091,0.2159090909090909,0.09090909090909091,0.06818181818181818,0.125
3,1,228,1,30,1,2,55000.0,5.0,6.5,5.0,6.0,7.0,3.286,1.286,2.714,3.714,"This is such a terrible thing to happen. To think that these things still happen in parts of the world is heartbreaking. I can't even fathom what those little girls must have been through. It must have been a horrible experience for them, and I hope there are no lasting mental effects from it. To think that there are such monsters in the world who would do such a thing is truly distressing.",-0.8800082592945723,-1.6215551637007832,-0.7786568569865939,-0.0317635956641788,n,n,n,n,1,73,12.85,19.21,6.09,1.0,14.6,12.33,95.89,87.67,72.6,20.55,5.48,2.74,0.0,0.0,0.0,1.37,15.07,19.18,6.85,0.0,12.33,19.18,6.85,1.37,2.74,26.03,6.85,1.37,0.0,0.0,0.0,0.0,19.18,1.37,17.81,4.11,1.37,9.59,1.37,6.85,2.74,0.0,6.85,1.37,5.48,5.48,1.37,4.11,1.37,0.0,2.74,0.0,4.11,0.0,0.0,0.0,0.0,0.0,0.0,4.11,0.0,0.0,1.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.74,8.22,0.0,0.0,8.22,0.0,0.0,0.0,1.37,8.22,9.59,1.37,0.0,0.0,0.0,0.0,0.0,9.59,6.85,1.37,0.0,0.0,1.37,0.0,0,4.041095890410959,3.0821917808219177,6.397260273972603,0.726027397260274,0.1232876712328767,0.1095890410958904,0.0821917808219178,0.136986301369863,0.0547945205479452,0.1506849315068493,0.0684931506849315,0.1095890410958904,0.1095890410958904,0.0410958904109589
4,1,302,1,30,1,2,55000.0,5.0,6.5,5.0,6.0,7.0,3.286,1.286,2.714,3.714,"It is concerning that pollution can have such a significant impact on the survival of lung cancer sufferers. Although I do not find it particularly surprising, it is just another reason among many why we need to start living more cleanly as a whole. I suspect that air pollution does just as much damage to non-cancer sufferers, but it is probably more difficult to determine.",-0.8800082592945723,-1.6215551637007832,-0.7786568569865939,-0.0317635956641788,n,n,n,n,1,65,31.07,7.93,41.41,1.0,21.67,26.15,89.23,76.92,64.62,15.38,4.62,3.08,1.54,0.0,0.0,0.0,10.77,16.92,4.62,0.0,13.85,10.77,7.69,6.15,1.54,18.46,10.77,9.23,1.54,1.54,0.0,0.0,21.54,0.0,21.54,6.15,4.62,3.08,1.54,0.0,6.15,0.0,6.15,0.0,4.62,4.62,0.0,3.08,0.0,0.0,0.0,0.0,1.54,0.0,0.0,0.0,0.0,0.0,0.0,1.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.62,3.08,3.08,0.0,0.0,0.0,0.0,0.0,0.0,1.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.15,6.15,1.54,0.0,3.08,0.0,0.0,0.0,1.54,0.0,7.69,0.0,0.0,0.0,0.0,0.0,0.0,9.23,4.62,3.08,0.0,0.0,0.0,1.54,0,4.615384615384615,3.0615384615384613,6.923076923076923,0.7538461538461538,0.07692307692307693,0.09230769230769231,0.1076923076923077,0.15384615384615385,0.09230769230769231,0.2,0.12307692307692308,0.15384615384615385,0.046153846153846156,0.09230769230769231
5,2,9,1,30,1,2,30000.0,6.5,6.0,4.0,4.0,5.5,4.0,1.571,4.0,3.857,"Reading stories about natural disasters that have a significant impact on nations can be truly challenging. There are limited measures that can be taken to prepare for such events, and often these preparations only manage to minimize the damage to a certain extent. It is disheartening to witness the response of certain individuals in these situations. Instead of assisting their neighbors, they resort to looting and plundering resources from those already grappling with the aftermath of the natural disasters.",0.1018663960280084,-1.2629149522208851,1.0138895328231994,0.1265568721135522,y,n,y,n,1,79,80.82,62.57,1.0,8.44,19.75,37.97,86.08,69.62,55.7,10.13,2.53,0.0,0.0,0.0,0.0,2.53,7.59,16.46,7.59,0.0,17.72,8.86,8.86,2.53,0.0,13.92,10.13,1.27,2.53,1.27,1.27,0.0,12.66,0.0,12.66,0.0,2.53,2.53,1.27,1.27,1.27,0.0,1.27,0.0,1.27,1.27,0.0,1.27,0.0,0.0,1.27,0.0,8.86,3.8,1.27,0.0,0.0,0.0,2.53,5.06,0.0,0.0,0.0,0.0,1.27,1.27,0.0,0.0,2.53,0.0,1.27,1.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.27,0.0,0.0,0.0,0.0,0.0,1.27,3.8,3.8,0.0,0.0,2.53,1.27,0.0,0.0,3.8,2.53,5.06,2.53,0.0,0.0,0.0,0.0,0.0,7.59,5.06,2.53,0.0,0.0,0.0,0.0,0,5.1265822784810124,4.075949367088608,8.189873417721518,1.0126582278481011,0.13924050632911392,0.0759493670886076,0.11392405063291139,0.10126582278481013,0.02531645569620253,0.24050632911392406,0.13924050632911392,0.11392405063291139,0.05063291139240506,0.11392405063291139
6,2,94,1,30,1,2,30000.0,6.5,6.0,4.0,4.0,5.5,4.0,1.571,4.0,3.857,"This situation is one of the worst that I can imagine. When you cannot even feel safe in the city you live in, let alone your own house, it is time to consider moving. However, I can imagine that these people have nowhere else to go. Situations like this disrupt normal life and instill a fear that many people in their everyday lives will never experience.",0.1018663960280084,-1.2629149522208851,1.0138895328231994,0.1265568721135522,y,n,y,n,1,66,6.68,31.58,97.32,6.9,16.5,16.67,95.45,77.27,62.12,22.73,9.09,3.03,0.0,4.55,0.0,1.52,13.64,19.7,4.55,1.52,10.61,10.61,9.09,4.55,4.55,21.21,10.61,3.03,1.52,0.0,0.0,1.52,21.21,4.55,16.67,6.06,0.0,4.55,0.0,0.0,4.55,0.0,4.55,1.52,3.03,1.52,0.0,1.52,1.52,0.0,0.0,0.0,10.61,0.0,0.0,0.0,0.0,0.0,0.0,6.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.52,0.0,1.52,0.0,0.0,0.0,3.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.52,0.0,15.15,15.15,0.0,3.03,12.12,0.0,0.0,1.52,4.55,0.0,10.61,1.52,0.0,0.0,0.0,0.0,0.0,10.61,6.06,4.55,0.0,0.0,0.0,0.0,0,4.242424242424242,2.9242424242424243,6.227272727272728,0.9393939393939394,0.06060606060606061,0.015151515151515152,0.030303030303030304,0.06060606060606061,0.015151515151515152,0.06060606060606061,0.030303030303030304,0.045454545454545456,0.015151515151515152,0.015151515151515152
7,2,99,1,30,1,2,30000.0,6.5,6.0,4.0,4.0,5.5,4.0,1.571,4.0,3.857,"Stories like this always manage to irritate me a bit. I don't keep up with celebrity news, so when some does manage to find its way in front of me, I'm just like, ""Who cares?"" These people will never have an impact on my real life, and they will never even cross my mind on their own.",0.1018663960280084,-1.2629149522208851,1.0138895328231994,0.1265568721135522,y,n,y,n,1,57,10.19,5.8,96.42,74.93,19.0,5.26,100.0,80.7,66.67,21.05,15.79,10.53,0.0,0.0,0.0,3.51,5.26,15.79,3.51,0.0,17.54,10.53,12.28,5.26,5.26,21.05,1.75,3.51,3.51,0.0,0.0,3.51,15.79,5.26,10.53,1.75,1.75,0.0,0.0,1.75,0.0,0.0,7.02,5.26,1.75,1.75,0.0,1.75,0.0,1.75,0.0,0.0,14.04,5.26,1.75,0.0,0.0,0.0,3.51,7.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.04,10.53,0.0,1.75,7.02,0.0,0.0,0.0,7.02,0.0,7.02,3.51,0.0,0.0,0.0,0.0,0.0,19.3,3.51,7.02,1.75,0.0,3.51,3.51,0,3.6140350877192975,2.5789473684210527,5.596491228070176,0.5964912280701754,0.10526315789473684,0.017543859649122806,0.05263157894736842,0.05263157894736842,0.017543859649122806,0.10526315789473684,0.14035087719298245,0.05263157894736842,0.017543859649122806,0.10526315789473684
8,2,125,1,30,1,2,30000.0,6.5,6.0,4.0,4.0,5.5,4.0,1.571,4.0,3.857,"Fires have a profound impact on my emotions, as I have personally experienced their devastating effects. The fear I felt during that time still lingers within me to this day. A fire has the ability to destroy everything one possesses, leaving a person deeply traumatized. Often, individuals or families are abruptly awakened by blaring alarms and engulfed in smoke, forcing them to quickly choose and save their most valuable belongings. Undoubtedly, this is an incredibly frightening situation.",0.1018663960280084,-1.2629149522208851,1.0138895328231994,0.1265568721135522,y,n,y,n,1,77,64.42,47.76,68.52,2.61,15.4,35.06,85.71,58.44,51.95,14.29,9.09,5.19,0.0,0.0,0.0,3.9,5.19,18.18,7.79,1.3,11.69,6.49,5.19,5.19,0.0,9.09,3.9,3.9,5.19,2.6,1.3,1.3,12.99,1.3,11.69,3.9,2.6,0.0,2.6,2.6,1.3,0.0,9.09,2.6,5.19,5.19,0.0,3.9,2.6,0.0,0.0,0.0,7.79,0.0,0.0,0.0,0.0,0.0,0.0,7.79,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,1.3,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.09,7.79,1.3,1.3,2.6,0.0,1.3,1.3,6.49,2.6,3.9,0.0,0.0,0.0,0.0,0.0,0.0,12.99,6.49,6.49,0.0,0.0,0.0,0.0,0,4.558441558441558,3.909090909090909,7.545454545454546,0.922077922077922,0.09090909090909091,0.1038961038961039,0.06493506493506493,0.14285714285714285,0.03896103896103896,0.15584415584415584,0.14285714285714285,0.07792207792207792,0.06493506493506493,0.11688311688311688
9,2,150,1,30,1,2,30000.0,6.5,6.0,4.0,4.0,5.5,4.0,1.571,4.0,3.857,"It is unfortunate that a woman lost her life in this manner, but such incidents do occur. It is difficult to determine who should be held responsible for this, as these events are often unpredictable. However, the fact that the female pilot was struck by another aircraft suggests that there may have been a failure to adhere to proper protocols. The other plane should not have been in such close proximity to her.",0.1018663960280084,-1.2629149522208851,1.0138895328231994,0.1265568721135522,y,n,y,n,1,73,26.97,32.36,9.7,2.26,18.25,17.81,86.3,78.08,64.38,16.44,4.11,0.0,0.0,0.0,2.74,0.0,12.33,23.29,6.85,0.0,12.33,17.81,4.11,4.11,1.37,21.92,12.33,1.37,2.74,0.0,1.37,1.37,17.81,0.0,17.81,1.37,1.37,2.74,2.74,0.0,6.85,0.0,2.74,0.0,2.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.59,1.37,0.0,0.0,0.0,0.0,1.37,6.85,0.0,0.0,5.48,0.0,0.0,0.0,0.0,0.0,1.37,0.0,0.0,1.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.48,6.85,0.0,0.0,6.85,0.0,0.0,0.0,1.37,8.22,4.11,1.37,0.0,0.0,0.0,0.0,0.0,9.59,5.48,4.11,0.0,0.0,0.0,0.0,0,4.36986301369863,3.3698630136986303,6.849315068493151,0.8904109589041096,0.0684931506849315,0.0273972602739726,0.0547945205479452,0.1232876712328767,0.0,0.1506849315068493,0.0958904109589041,0.0821917808219178,0.0410958904109589,0.0958904109589041
