llm,id,dataset,prompt,similarity
gpt,1999_554750,essays,SG,0.9847888756577724
gpt,1998_659638,essays,SG,0.9868499631717939
gpt,1997_790797,essays,SG,0.9783150730387948
gpt,2000_962395,essays,SG,0.9946231699279621
gpt,1998_961471,essays,SG,0.9817651731569513
gpt,1997_848404,essays,SG,0.9800771279752705
gpt,1997_339543,essays,SG,0.9864589020209529
gpt,2000_129388,essays,SG,0.9794863396754829
gpt,2004_268,essays,SG,0.9712572135824237
gpt,2000_383598,essays,SG,0.9836281245354366
gpt,1999_731414,essays,SG,0.984550911779529
gpt,1999_715155,essays,SG,0.9919057177077952
gpt,2000_556251,essays,SG,0.9784100064915746
gpt,1998_470852,essays,SG,0.9741076304567249
gpt,1999_670149,essays,SG,0.9777745561432682
gpt,1999_570986,essays,SG,0.9728856776501922
gpt,2002_715289,essays,SG,0.9729874290402905
gpt,2002_950971,essays,SG,0.9780681647937924
gpt,2004_215,essays,SG,0.9913403445466279
gpt,2003_98,essays,SG,0.9908069212639189
gpt,1998_990689,essays,SG,0.9822852481752611
gpt,2000_678824,essays,SG,0.9841106958535725
gpt,1997_012113,essays,SG,0.9916182020426991
gpt,1997_518093,essays,SG,0.9774685387697496
gpt,1999_938294,essays,SG,0.9562420987669492
gpt,1997_677691,essays,SG,0.9897709283586313
gpt,2004_124,essays,SG,0.9776383364241138
gpt,2003_237,essays,SG,0.9883994096192711
gpt,2000_932050,essays,SG,0.9687657839653652
gpt,1999_779803,essays,SG,0.9612036124663703
gpt,1999_699805,essays,SG,0.981447342089734
gpt,2002_996434,essays,SG,0.9601767497424062
gpt,2000_658182,essays,SG,0.9829558810890989
gpt,1998_853629,essays,SG,0.9671041077728902
gpt,2000_976039,essays,SG,0.9842364088105987
gpt,2000_193715,essays,SG,0.9838283437154132
gpt,1997_856670,essays,SG,0.967087490415496
gpt,2002_497579,essays,SG,0.9493382394757383
gpt,1998_953267,essays,SG,0.9753057712659481
gpt,2003_428,essays,SG,0.9877900983339979
gpt,1997_716840,essays,SG,0.94584372944849
gpt,2003_351,essays,SG,0.9725305674489358
gpt,2003_51,essays,SG,0.9515533451919662
gpt,2003_14,essays,SG,0.9830889436504242
gpt,2004_248,essays,SG,0.9798483301943572
gpt,2000_851969,essays,SG,0.9765891047858523
gpt,2003_247,essays,SG,0.981344466350387
gpt,2003_183,essays,SG,0.9893544160939711
gpt,1997_973910,essays,SG,0.9707991503873622
gpt,1999_956679,essays,SG,0.9650741236793718
gpt,2000_818614,essays,SG,0.983630465683899
gpt,1998_889071,essays,SG,0.9789279888986111
gpt,2004_13,essays,SG,0.9858986169168208
gpt,2000_871605,essays,SG,0.9682740085007886
gpt,2000_182860,essays,SG,0.9299867185815202
gpt,1997_953451,essays,SG,0.9639505562637187
gpt,1998_535687,essays,SG,0.9910611364029032
gpt,2003_220,essays,SG,0.979756630723003
gpt,2000_940609,essays,SG,0.9863797986085119
gpt,2002_693429,essays,SG,0.9635693126546796
gpt,1998_514882,essays,SG,0.9796255736791013
gpt,1998_690595,essays,SG,0.9666082749641983
gpt,1999_939985,essays,SG,0.9781291681684298
gpt,1999_874130,essays,SG,0.9648060361439005
gpt,2004_280,essays,SG,0.9681209482924288
gpt,2002_243882,essays,SG,0.9721740359123061
gpt,1998_735496,essays,SG,0.7573040892969924
gpt,2004_448,essays,SG,0.9817612463359813
gpt,2002_136641,essays,SG,0.9836304684370245
gpt,2004_388,essays,SG,0.9870432380162251
gpt,1999_572922,essays,SG,0.9907337036826759
gpt,2002_792236,essays,SG,0.9832588162328871
gpt,2002_077680,essays,SG,0.9494805989074631
gpt,1997_820679,essays,SG,0.9774799395859093
gpt,1997_758039,essays,SG,0.9716018585674921
gpt,2003_70,essays,SG,0.9885795889106701
gpt,1999_640688,essays,SG,0.9834147926132258
gpt,2003_104,essays,SG,0.9853753705424084
gpt,2000_488372,essays,SG,0.9894274904279566
gpt,2000_949785,essays,SG,0.9725922278422741
gpt,2002_830128,essays,SG,0.9855534697090638
gpt,1997_434159,essays,SG,0.9646631093642088
gpt,2000_911587,essays,SG,0.97771526132056
gpt,1999_706452,essays,SG,0.9744224960457498
gpt,2004_432,essays,SG,0.9857402666905195
gpt,2000_762391,essays,SG,0.9838950470392777
gpt,1997_878676,essays,SG,0.9859358876647707
gpt,2002_619916,essays,SG,0.9820384749162407
gpt,2002_030481,essays,SG,0.9532111865656306
gpt,2002_699655,essays,SG,0.954109630302681
gpt,2003_511,essays,SG,0.970403222094423
gpt,2003_422,essays,SG,0.9735689095245742
gpt,1999_731141,essays,SG,0.9851292721035929
gpt,2004_458,essays,SG,0.971995190099778
gpt,1997_835938,essays,SG,0.9587884162071348
gpt,1999_792994,essays,SG,0.9847211987211854
gpt,1997_979571,essays,SG,0.9863999659756859
gpt,1998_059087,essays,SG,0.9814002333769342
gpt,2000_624145,essays,SG,0.9786084695339532
gpt,1998_911582,essays,SG,0.9656144602103538
gpt,2003_530,essays,SG,0.9743320026311612
gpt,2004_352,essays,SG,0.9871408075396081
gpt,1997_597598,essays,SG,0.97091931379865
gpt,2000_573694,essays,SG,0.9927809862096514
gpt,1998_959778,essays,SG,0.9694264407275174
gpt,1997_736454,essays,SG,0.9817415859641284
gpt,1999_557730,essays,SG,0.9767951999278992
gpt,2004_27,essays,SG,0.9703131899221271
gpt,2004_261,essays,SG,0.9805252684068307
gpt,2002_677203,essays,SG,0.9725278090494704
gpt,1999_037068,essays,SG,0.9730468189532526
gpt,2000_677716,essays,SG,0.9707130630994754
gpt,2003_421,essays,SG,0.9755885332934343
gpt,2004_128,essays,SG,0.9754541912823476
gpt,1999_718951,essays,SG,0.986544456354461
gpt,2004_165,essays,SG,0.976502550405965
gpt,2003_566,essays,SG,0.9843744833475783
gpt,2000_914317,essays,SG,0.9780325119983282
gpt,2002_766324,essays,SG,0.9689450650725748
gpt,2002_106981,essays,SG,0.9672977255556193
gpt,1997_853759,essays,SG,0.980290297459939
gpt,2000_071590,essays,SG,0.9894810850199814
gpt,1999_559341,essays,SG,0.9785836886819731
gpt,1998_474113,essays,SG,0.985765572385583
gpt,2000_854482,essays,SG,0.9833219818375105
gpt,1998_054183,essays,SG,0.972638617618924
gpt,2002_818242,essays,SG,0.953452823445685
gpt,1999_144526,essays,SG,0.9895765614475395
gpt,2002_712619,essays,SG,0.9522433822655008
gpt,2003_303,essays,SG,0.9865977716800799
gpt,2004_154,essays,SG,0.9933396417647926
gpt,1997_897862,essays,SG,0.9811998594070676
gpt,2003_186,essays,SG,0.9849352793129799
gpt,2004_174,essays,SG,0.9857284571368456
gpt,2000_759523,essays,SG,0.9878394607591314
gpt,2002_918671,essays,SG,0.987633238004008
gpt,1997_476707,essays,SG,0.9789017977361288
gpt,2004_329,essays,SG,0.9895474562531328
gpt,2003_195,essays,SG,0.9748327045612281
gpt,2000_771407,essays,SG,0.9756650130490627
gpt,2004_453,essays,SG,0.9837523384084137
gpt,2000_711029,essays,SG,0.9855387397252956
gpt,2002_939045,essays,SG,0.9831230064082548
gpt,2000_773497,essays,SG,0.9882135591766847
gpt,2000_263307,essays,SG,0.9772221068244356
gpt,1999_718342,essays,SG,0.9850921924816008
gpt,1998_858684,essays,SG,0.9535703723613188
gpt,1997_474191,essays,SG,0.9788155470413971
gpt,2000_692644,essays,SG,0.9833823873049342
gpt,1997_470418,essays,SG,0.9579600657512695
gpt,2002_911754,essays,SG,0.9724277849277975
gpt,2003_69,essays,SG,0.9879569236816523
gpt,1999_413605,essays,SG,0.9850349101524337
gpt,2004_122,essays,SG,0.9699178982034378
gpt,1999_911756,essays,SG,0.9894011118195205
gpt,1999_851919,essays,SG,0.9805312930648735
gpt,1997_475795,essays,SG,0.9883379419646908
gpt,2000_597336,essays,SG,0.9747907920982435
