datasets,llm,labels,higher,lower
essays,gpt,CON,0.14227642276422764,0.06910569105691057
essays,gpt,CON,0.07220216606498195,0.04693140794223827
essays,gpt,CON,0.14233576642335766,0.09124087591240876
essays,gpt,CON,0.06666666666666667,0.12941176470588237
essays,gpt,CON,0.1274131274131274,0.05405405405405406
essays,gpt,CON,0.08235294117647059,0.0
essays,gpt,CON,0.08178438661710037,0.12639405204460966
essays,gpt,CON,0.14344262295081966,0.0942622950819672
essays,gpt,CON,0.07531380753138076,0.14225941422594143
essays,gpt,CON,0.1044776119402985,0.06343283582089553
essays,gpt,CON,0.12301587301587301,0.047619047619047616
essays,gpt,CON,0.0,0.0
essays,gpt,CON,0.11155378486055777,0.05179282868525897
essays,gpt,CON,0.09448818897637795,0.031496062992125984
essays,gpt,CON,0.05755395683453238,0.039568345323741004
essays,gpt,CON,0.08835341365461848,0.10441767068273092
essays,gpt,CON,0.0,0.0
essays,gpt,CON,0.10909090909090909,0.13454545454545455
essays,gpt,CON,0.058823529411764705,0.0
essays,gpt,CON,0.0182648401826484,0.0091324200913242
essays,gpt,CON,0.12547528517110265,0.09505703422053231
essays,gpt,CON,0.11284046692607004,0.042801556420233464
essays,gpt,CON,0.15447154471544716,0.14634146341463414
essays,gpt,CON,0.0,0.0
essays,gpt,CON,0.07346938775510205,0.053061224489795916
essays,gpt,CON,0.0,0.0
essays,gpt,CON,0.0,0.0
essays,gpt,CON,0.04887218045112782,0.015037593984962405
essays,gpt,CON,0.12686567164179105,0.07835820895522388
essays,gpt,CON,0.0,0.0
essays,gpt,CON,0.08560311284046693,0.14785992217898833
essays,gpt,CON,0.09302325581395349,0.10852713178294573
essays,gpt,CON,0.04727272727272727,0.01818181818181818
essays,gpt,CON,0.09205020920502092,0.11715481171548117
essays,gpt,CON,0.11788617886178862,0.10569105691056911
essays,gpt,CON,0.06607929515418502,0.03524229074889868
essays,gpt,CON,0.15254237288135594,0.11440677966101695
essays,gpt,CON,0.09848484848484848,0.125
essays,gpt,CON,0.01327433628318584,0.0
essays,gpt,CON,0.1228813559322034,0.0635593220338983
essays,gpt,CON,0.09504132231404959,0.07024793388429752
essays,gpt,CON,0.12184873949579832,0.13865546218487396
essays,gpt,CON,0.0,0.0
essays,gpt,CON,0.2899628252788104,0.011152416356877323
essays,gpt,CON,0.22083333333333333,0.029166666666666667
essays,gpt,CON,0.038461538461538464,0.0
